이용객 유형,가맹점 대표자 유형,2014-09~2015-08 카드이용금액,2014-09 ~ 2015-08 카드이용건수,2015-09~2016-08 카드이용금액,2015-09~2016-08 카드이용건수,데이터기준일자
내국인 관광객,제주도민_개인, 185833019371 , 5526709 , 238198423865 , 7648406 ,2017-02-16
내국인 관광객,내국인_개인 (도민 제외), 8659982061 , 314263 , 12296166269 , 455555 ,2017-02-16
내국인 관광객,내국인_법인 (도민 포함), 240280815317 , 4269040 , 290803761661 , 5479991 ,2017-02-16
내국인 관광객,외국인_개인+법인, 3893128651 , 119422 , 5157880855 , 171713 ,2017-02-16
중국인 관광객,제주도민_개인, 78578915894 , 639360 , 77864751987 , 833637 ,2017-02-16
중국인 관광객,내국인_개인 (도민 제외), 9771581563 , 82859 , 10297861181 , 98213 ,2017-02-16
중국인 관광객,내국인_법인 (도민 포함), 360324469965 , 1637025 , 556260106453 , 3205066 ,2017-02-16
중국인 관광객,외국인_개인+법인, 179339656248 , 139628 , 120398259684 , 265045 ,2017-02-16
제주도민,제주도민_개인, 629641652136 , 16963145 , 683526983306 , 19725617 ,2017-02-16
제주도민,내국인_개인 (도민 제외), 24827351114 , 815907 , 30393519148 , 1026190 ,2017-02-16
제주도민,내국인_법인 (도민 포함), 351084579253 , 6691770 , 381982838006 , 7466144 ,2017-02-16
제주도민,외국인_개인+법인, 13817433550 , 476106 , 15986126078 , 584817 ,2017-02-16
